,accuracy,precision,recall,f1,auc
SVM,0.8739495798319328,0.7637878680884118,0.8739495798319328,0.815163733654897,0.7310541310541311
Random Forest,0.9719887955182073,0.9728587087008717,0.9719887955182073,0.9704590037907909,0.9983262108262109
Gradient Boosting,0.9775910364145658,0.9781512605042016,0.9775910364145658,0.9766397451231188,0.9985754985754987
LightGBM,0.9971988795518207,0.9972078288184283,0.9971988795518207,0.997185383816448,1.0
Neural Network,0.8739495798319328,0.7637878680884118,0.8739495798319328,0.815163733654897,0.7381766381766383
